"issn","avgJSD","database","competitor","journal"
"0001-4273",0.351361406805201,"SOCSCI","No","ACAD MANAGE J"
"0001-4842",0.319469552744152,"SCI","No","ACCOUNTS CHEM RES"
"0001-6322",0.440185796260454,"SCI","No","ACTA NEUROPATHOL"
"0001-690X",0.335471444740743,"SOCSCI","No","ACTA PSYCHIAT SCAND"
"0001-8244",0.363264389068539,"SOCSCI","No","BEHAV GENET"
"0001-8392",0.329689995261192,"SOCSCI","No","ADMIN SCI QUART"
"0001-8732",0.339541586306167,"SCI","No","ADV PHYS"
"0002-7863",0.363312836612332,"SCI","No","J AM CHEM SOC"
"0002-8282",0.300516364352186,"SOCSCI","No","AM ECON REV"
"0002-8312",0.26710402810608,"SOCSCI","No","AM EDUC RES J"
"0002-8614",0.321652244668398,"SOCSCI","No","J AM GERIATR SOC"
"0002-9270",0.26938165741508,"SCI","No","AM J GASTROENTEROL"
"0002-9297",0.366435111173485,"SCI","No","AM J HUM GENET"
"0002-953X",0.366127998778231,"SOCSCI","No","AM J PSYCHIAT"
"0003-0554",0.329206948466508,"SOCSCI","No","AM POLIT SCI REV"
"0003-066X",0.36947614916162,"SOCSCI","No","AM PSYCHOL"
"0003-1224",0.354582846352439,"SOCSCI","No","AM SOCIOL REV"
"0003-4819",0.345063104114872,"SCI","No","ANN INTERN MED"
"0003-4967",0.276840174917427,"SCI","No","ANN RHEUM DIS"
"0003-990X",0.35582231682846,"SOCSCI","No","ARCH GEN PSYCHIAT"
"0003-9926",0.345772574641957,"SCI","No","ARCH INTERN MED"
"0003-9942",0.342575919959938,"SCI","No","ARCH NEUROL-CHICAGO"
"0004-0002",0.410801465216508,"SOCSCI","No","ARCH SEX BEHAV"
"0004-8674",0.31397627178012,"SOCSCI","No","AUST NZ J PSYCHIAT"
"0005-7894",0.350062223290551,"SOCSCI","No","BEHAV THER"
"0005-7967",0.366089639151865,"SOCSCI","No","BEHAV RES THER"
"0006-3223",0.326123269512791,"SCI","No","BIOL PSYCHIAT"
"0006-4971",0.273848056481469,"SCI","No","BLOOD"
"0006-8950",0.400346445932942,"SCI","No","BRAIN"
"0007-1250",0.331259290543856,"SOCSCI","No","BRIT J PSYCHIAT"
"0007-2303",0.294133453406993,"SOCSCI","No","BROOKINGS PAP ECO AC"
"0007-9235",0.425696180162538,"SCI","No","CA-CANCER J CLIN"
"0008-5472",0.410209400781394,"SCI","No","CANCER RES"
"0009-2665",0.351410613124759,"SCI","No","CHEM REV"
"0009-3920",0.338177324847452,"SOCSCI","No","CHILD DEV"
"0009-7322",0.28509182132143,"SCI","No","CIRCULATION"
"0009-7330",0.353455237780528,"SCI","No","CIRC RES"
"0010-0277",0.397103671199251,"SOCSCI","Yes","COGNITION"
"0010-0285",0.358679408534164,"SOCSCI","Yes","COGNITIVE PSYCHOL"
"0010-8545",0.331693134194235,"SCI","No","COORDIN CHEM REV"
"0011-1384",0.409966794180178,"SOCSCI","No","CRIMINOLOGY"
"0011-3204",0.3352890903719,"SOCSCI","No","CURR ANTHROPOL"
"0012-1649",0.318808907131114,"SOCSCI","No","DEV PSYCHOL"
"0012-1797",0.323025917140309,"SCI","No","DIABETES"
"0012-9615",0.443971242311606,"SCI","No","ECOL MONOGR"
"0012-9682",0.367655679696121,"SOCSCI","No","ECONOMETRICA"
"0016-5085",0.316248393462966,"SCI","No","GASTROENTEROLOGY"
"0017-5749",0.328130756236016,"SCI","No","GUT"
"0020-2754",0.375035201431398,"SOCSCI","No","T I BRIT GEOGR"
"0021-843X",0.341472359738584,"SOCSCI","No","J ABNORM PSYCHOL"
"0021-9010",0.315920078236934,"SOCSCI","No","J APPL PSYCHOL"
"0021-9525",0.429001177973671,"SCI","No","J CELL BIOL"
"0021-9630",0.379555542354185,"SOCSCI","No","J CHILD PSYCHOL PSYC"
"0021-9738",0.415129316058023,"SCI","No","J CLIN INVEST"
"0022-006X",0.343887747374322,"SOCSCI","No","J CONSULT CLIN PSYCH"
"0022-0167",0.333274686626829,"SOCSCI","No","J COUNS PSYCHOL"
"0022-0663",0.35382960941477,"SOCSCI","No","J EDUC PSYCHOL"
"0022-1007",0.404674444748585,"SCI","No","J EXP MED"
"0022-1082",0.269733951297654,"SOCSCI","No","J FINANC"
"0022-1465",0.366563461610934,"SOCSCI","No","J HEALTH SOC BEHAV"
"0022-2380",0.3093353633853,"SOCSCI","No","J MANAGE STUD"
"0022-2429",0.352234567727682,"SOCSCI","No","J MARKETING"
"0022-2445",0.322867072198861,"SOCSCI","No","J MARRIAGE FAM"
"0022-3417",0.37807798373548,"SCI","No","J PATHOL"
"0022-3506",0.374841889694484,"SOCSCI","No","J PERS"
