i,name,size,group
0,"Holt, Lori L.",0.4844185951614004,other
1,"Stenning, K",0.39437488475348903,other
2,"Zwaan, Rolf A.",0.4007903980948575,other
3,"Yaxley, Richard H.",0.2873267311561183,other
4,"Cree, George S.",0.31334896076140095,other
5,"Magnuson, James S.",0.3453962991592915,other
6,"Kita, Sotaro",0.43667057284303884,other
7,"Hutchinson, John M. C.",0.6187180748259027,other
8,"Lapata, Mirella",0.6931471805599455,other
9,"Norris, Dennis",0.3087198186768871,other
10,"Wagenmakers, Eric-Jan",0.4056958346620581,other
11,"Knauff, Markus",0.6529000019100758,other
12,"Smith, Kenny",0.530759933243881,other
13,"Frisson, S",0.4283721850486615,other
14,"Holyoak, KJ",0.32352195231774167,other
15,"Mitterer, Holger",0.4672780209875246,other
16,"Alibali, Martha W.",0.553090120340183,other
17,"McQueen, James M.",0.2802126977417833,other
18,"Thompson, Leigh",0.5868244134801993,other
19,"Leydesdorff, Loet",0.6607644723925006,other
20,"Mueller, Jutta L.",0.38710855107681463,other
21,"Swoboda, Nik",0.3260742392134935,other
22,"Healey, Patrick G. T.",0.2832672499014537,other
23,"Wallraven, Christian",0.3113453535809597,other
24,"Bosse, T",0.3007051182293587,other
25,"Stout, Julie C.",0.5540954261769195,other
26,"Markman, AB",0.48375282455510527,other
27,"Zhao, Xiaowei",0.6708340514377835,other
28,"Bowers, Jeffrey S.",0.2221266305689124,other
29,"Olney, Andrew",0.543985531316802,other
30,"Gomez, Rebecca L.",0.39161992358774145,other
31,"Grodner, D",0.2318598216374026,other
32,"Knoeferle, Pia",0.14882728087622046,other
33,"Mayor, Julien",0.6181691612774376,other
34,"Brown, Gordon D. A.",0.31352789880043125,other
35,"Reynolds, Jeremy R.",0.4442519434688414,other
36,"Atran, Scott",0.564667310570237,other
37,"Gibson, E",0.2318598216374026,other
38,"Abbot-Smith, Kirsten",0.4408338022040816,other
39,"Gureckis, Todd M.",0.21544869318199128,other
40,"Plaut, David C.",0.3945536958839117,other
41,"Schwaninger, Adrian",0.3113453535809597,other
42,"McRae, Ken",0.27762684016317996,other
